股票代码,券商简称,发布日期,研报标题,报告链接,研报文本,研究员
600806,中国银河证券股份有限公司,2009-01-05,昆明机床(600806)：研发创新能力强 成长性突出,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284484597265/index.phtml,"国家出台的增值税改革及配套措施以及4万亿投资等“保增长”措施，对于拉动机床行业的需求、加快行业进口替代进程将起到明显的促进作用。我们认为未来机床行业将从目前状态逐步回暖，预计2009年行业增长17%-20%。重型机床的附加值高、竞争相对缓和、技术和进口替代空间大，一直是机床行业增长的最重要推动力，预计2009年重型机床增长不低于30%。
产品研发创新能力强，成长性突出，公司自主开发落地式镗铣床，近年来持续高速增长，已成为公司收入和利润占比最大的产品。是公司业绩高速增长的重要推动力。未来公司还推出龙门加工中心等高端新产品，形成新的增长点。公司的中高端产品比例高，盈利能力高于同行业上市公司，也高于主要竞争对手武重和齐二机床。
公司落地镗铣床属于重型机床，市场占有率为30%，目前订单应接不暇的局面有所缓和。预计下半年增速为30%左右，全年增速为40%。2009年增长28%。卧式镗铣床是公司的传统优势产品，市场占有率约为20%，目前小型号产品增速呈现大幅回落。预计2008年下半年的增速为10%，全年增长28%左右。2009年增速为18%。
预计2009年公司收入增长22%，毛利率将略有下降。公司盈利增长20%左右，2008年-2010年每股收益分别为0.63元、0.75元和0.95元。与同行业公司相比，公司估值优势明显，根据绝对估值和相对估值，公司的合理估值为9.5元，维持“推荐”评级。",周浩
000028,天相投资顾问有限公司,2009-01-05,一致药业(000028)：出售零售业务 聚焦分销、工业,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284484476483/index.phtml,"盈利预测与投资评级。根据此次收购与出售资产的情况，我们维持08年的EPS为0.55元，将09年的EPS从0.72元上调为0.80元，上调幅度为11%；将10年EPS从0.87元上调为0.93元，上调幅度为6.5%。维持公司的""增持""投资评级。
风险提示。（1）近一个月公司股价涨幅达到29.72%，同期大盘涨幅仅为-2.69%，国药股份涨幅为11.51%，所以公司股价可能存在短期回调可能。（2）公司收购资产后，还存在不能迅速磨合产生显著协同效应的风险。（3）大盘系统性风险。",张炎
601666,招商证券股份有限公司,2009-01-05,平煤股份(601666)调研简报：较高的分红收益率和低于重置成本的价格凸现价值,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284483217671/index.phtml,"维持“审慎推荐”评级
公司权益核定产能2849万吨（考虑在建煤矿，扣除持股60%的首山一矿的少数股东权益），按照大约400 万吨形成一吨产能计算，公司的重置建矿成本为11元/股。另外公司的采矿权重置成本为2.3 元/股（扣除未支付采矿权价款的一、四、六、八、十一矿和首山矿，按照5.5 元/吨的可采储量计算），企业重置成本合计为13.3元/股，目前股价仅高于重置建矿成本13.5%，且低于重置企业成本6%。
2005 年股东大会审议通过的现金分配政策为：每年对股东的现金股利分派不少于公司经审计的当年实现的可供股东分配利润的50%。按照08 年和09 年盈利的50%计算（扣除10%的公积金），目前股价下的分红收益率分别为8.1%和5.4%。
由于需求增速下降，煤价面临较大的不确定性，我们维持对公司审慎推荐的投资评级。",郭海燕
600276,国联民生证券股份有限公司,2009-01-05,恒瑞医药(600276)调研简报：期待“创新药”的起航,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284480879592/index.phtml,"投资建议：
对于恒瑞医药这样的企业其优势，我们不言而喻。但是对于未来我们也有些许的担忧，公司在过去凭借着“首仿”、“大市场、大病种”及“技术壁垒”，在抗肿瘤仿制药领域开创了自己的天地。那未来呢？公司开始渐渐感受到了首仿药市场的竞争压力，转向“创新药”，并从抗肿瘤产品积极向心血管和手术后产品进军。单纯从心血管领域的竞争来说，绝不亚于抗肿瘤类产品，而且在各个细分领域都存在着各自的强势品种，凭借公司目前的产品，难度可见一斑。而我们都知道创新药的研发即使是在国际大型医药企业来说，很多时候也是吃力不讨好的事情。公司未来三年的成长主要还是依靠仿制药来依托，预计在30%左右的幅度。
我们预测公司2008-2010年的每股收益分别是0.96元、1.27元和1.67元。2009年的市盈率是30.32X，相对于医药行业整体16X，化学制剂13X，略显昂贵，但是考虑到公司长期快速的增长，创新药的开拓者，我们愿意赋予公司一定的溢价。因此基本赞同市场目前的估值水平。给予“谨慎推荐”评级。",衡昆/章小韩
600426,华泰联合证券有限责任公司,2009-01-05,华鲁恒升(600426)：煤炭降价巩固成本优势,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284469915077/index.phtml,"粉煤降幅高于预期
公司每年与神华签订粉煤年度合同。08 下半年，由于合同以及神华定价等原因，公司粉煤采购价一直维持在较高水平（含税760 元/吨）。与此同时，块煤价格跌幅较大，山东地区块煤到厂价从年中最高1300-1400 元/吨下降到1000 元/吨以下（含税）。粉煤、块煤差价收窄至200 元/吨水平，创历年新低，公司成本控制能力也受到制约。
从历史上看，粉煤、块煤的合理差价在350 元/吨左右，神华的粉煤价格相对高估，有降价压力。不过此次降幅高达165 元/吨，与块煤价差达到400 元/吨左右，仍显著高于市场预期。
成本同行业最低
以尿素为例，公司水煤浆系统尿素生产成本大概为1450 元/吨，与行业普通煤头企业相比，差距拉大到约200 元/吨。其他产品如DMF 也有类似成本竞争力。
由于公司优秀的技术能力和管理水平，这一领先水平是可以持续的。
优秀的抗风险品种
08 年化工行业景气下滑，华鲁恒升是防御性最强的投资品种。公司的抗风险能力来源于3 方面：
1、 可持续的成本控制能力。公司成本优势来自于技术、运营和管理等诸方面，至少在未来3 年内，不会有明显威胁。低成本保证了即使行业低潮也有合理利润，更可贵的是保持高开工率和企业良好的运行状态。
2、 多行业、多品种的产业链优势。醋酸项目投产后，公司主要产品将有尿素、DMF、醋酸、甲胺等，产业链的一体化优势为国内煤化工最佳水平。下游行业既有稳定的粮食，也有周期性的服装、饲料等，整体经营风险较低。
3、 稳健的财务水平。在行业低潮、盈利能力下降的化工周期，快扩张、高杠杆的冒进型企业风险最大",朱力军
600517,中国国际金融股份有限公司,2009-01-05,置信电气(600517)：置信电气获得大额订单 维持推荐,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284469602233/index.phtml,"1．新年伊始“电网投资＋节能降耗”两辆马车强势初显。江苏帕威尔电气是江苏省电网公司的关联企业，也是置信江苏子公司（帕威尔置信）的合资方，其采购意向代表了江苏电网的投资计划。这笔10 亿元的09 年大额采购协议税后金额为8.5 亿元，已接近置信08 年全年来自江苏的销售收入（8－10 亿元），占我们09 年全年销售收入预测的27%。而且我们认为这还不是江苏电网09 的全部采购量，预计置信后续还可获得来自江苏的订单。
2．本次采购中置信的市场占有率仍占绝对优势。估计此次江苏电网集中招标中，置信电气获得了90%的非晶合金变压器订单，另一家电网关联企业获得剩余部分。
3．产品层次更为丰富。根据此协议，置信电气将在09 年为江苏电网提供20kV 的产品，在原有10kV 等级基础上取得突破。这一协议也缓解了市场之前的一个忧虑，即江苏电网新建20kV 线路，较高的电压等级降低了采购节能产品的必要性。
4．08 年经营现金流获得改善。我们估计该协议的预付款3 亿元已在08 年底前到帐，大大改善了置信08 年的经营性现金流状况（前3 季度为-2.3 亿元）。
维持推荐评级。股价对应09 年市盈率为21 倍，处于中金覆盖输配电设备板块估值的低端。公司双重受益于配电网投资加速以及节能降耗力度不减，是一个成长周期更长的输配电设备公司。考虑到需求强劲以及行业地位卓著，维持推荐评级",苏平/林周勇
600362,中国银河证券股份有限公司,2009-01-05,江西铜业(600362)：产量损失影响有限 短期业绩风险将释放,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284467947467/index.phtml,"投资建议
在2009年铜价30000元/吨的假设下，我们预测江西铜业2008、2009年EPS分别为0.73、0.41元，目前A股股价9.98元，对应2008年PB1.51倍，虽然距极限估值仍有距离，但已接近A股历史的最低估值，已低于我们计算的平滑掉周期影响江铜平均ROE决定的合理估值。虽然短期我们认为由于业绩亏损的风险还未完全释放，仍维持公司“中性”评级，但我们认为在风险释放后从长期回报的角度考虑可战略性布局。",周卓玮
002100,申万宏源集团股份有限公司,2009-01-05,天康生物(002100)调研报告：动物疫苗和饲料“双轮”驱动 具有高成长性预期,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284467926812/index.phtml,"2008 年业绩增长来自疫苗业务收入增加。2007 年公司销售各类疫苗4.7 亿毫升（其中口蹄疫疫苗3.6 亿毫升），2008 年预计公司销售疫苗5.7 亿毫升（其中口蹄疫疫苗近4 亿毫升），销量和收入预计同比增长20%以上。同时公司以往年份因结算周期原因，疫苗收入有部分在第二年确认，而08 年公司实现了当年结算。假设以往每年有15%疫苗销量在次年结算，则公司08 年可增加当年收入约2500 万元。当年结算也是公司08 年业绩增长的重要原因。
2009 年业绩明确增长来自于饲料产能扩张和景气恢复。2009 年公司饲料产能扩张，将推动该业务盈利增长100%以上：1）合并新子公司2009 年全年利润。
2008 年，公司本部饲料产量约为29 万吨，而新购并的宏展实业和郑州开创饲料子公司销量约35 万吨，净利约2300-2400 万元。公司在08 年11 月中完成100%股权并购。根据会计准则规定，当年仅合并其12 月份单月净利，而2009年将合并其全年净利润，公司同比增加盈利2 千万元以上；2）公司喀什年产6 万吨饲料项目预计2009 年8 月投产，预计09 年可能增加净利润100 万元左右；3）随着豆粕鱼粉等饲料原料价格下跌，饲料行业景气恢复，公司饲料业务毛利水平有望提高。
投资评级：增持。我们预计2008-2010 年，公司营业收入为9.24 亿元、17.13亿元和19.22 亿元，实现归属于母公司的净利润分别为0.70 亿元、0.96 亿元和1.10 亿元，按股本计算EPS 分别为0.56 元、0.76 元和0.87 元。公司激励体制灵活有效，疫苗销售拓展顺利，饲料产能大幅扩张，有望享受疫苗行业发展和饲料业景气恢复的双重利好。公司机制灵活高效，具有明确的高成长性，考虑到目前仅09 年15 倍PE 水平，我们给予“增持”评级。
风险因素：动物疫苗市场竞争激烈，如果销售价格和市场份额下降将影响公司业绩。如果因生猪、禽类市场出现供过于求，价格大跌降低存栏量，将减少饲料需求，对公司饲料业务构成一定风险。",王鹏
000021,中国国际金融股份有限公司,2009-01-05,长城开发(000021)：公告09年1季度硬盘板卡订单,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284465510171/index.phtml,"1Q09 硬盘板卡订单同比下滑12%
4Q08 订单完成情况低于预期。08 年第4 季度，公司实际完成PCBA 订单1327 万只，比预计订单减少29.5%，比3Q08 实际完成订单（2014 万只）减少34.1%，这符合我们在公司3 季报点评中的判断“全球经济放缓导致的需求压力上升，也将给公司接受代工订单带来负面影响”。
1Q09 预计订单同比减少12%。09 年1 季度，希捷给予公司的PCBA 计划订单为1442 万只，同比去年1 季度实际完成订单下滑12%，主要因为面对需求并不乐观的2009，希捷等下游客户对订单的发出更为谨慎。
维持盈利预测，维持“中性”投资评级
我们盈利假设中已经考虑到4Q08 和1Q09 硬盘板卡订单下滑的影响，故维持08-10 年每股收益为0.32 元、0.32元和0.35 元，当前股价对应09 年PE 为12.7x，PB 为1.0x，处于板块估值的中低端，但考虑到09 年外部需求的不确定性，暂时维持“中性”投资评级。",金宇
600584,海通证券股份有限公司,2009-01-05,长电科技(600584)调研报告：行业下行 成长模式难以为继,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/284465019842/index.phtml,"电子行业需求同步金融危机节奏，亦步亦趋的恶化。淡季提前来临，需求恶化程度高于此前预期，由于需求恶化是全球性的，电子业颓势已经形成，最近政策利好难改下行趋势，预期下行趋势可能延续到2Q09，但何时回升及幅度还未可知。
封装产业趋势和长电状况：1）公司开工率逐渐降低。分立器件的开工率降低到5~6成左右，集成电路封装的开工率目前在7~8 成左右；2）2007 年分立器件贡献主营收入和主营利润的56%和66%，集成电路分别对应39%和30%；3）收入：1Q08和2Q08 同比成长，但是3Q08 和去年同期持平；4) 毛利率：1Q08~3Q08 期间的三个季度毛利率节节下降，与2007 年同期的季度毛利率节节上升形成鲜明对比。
IC 封装产业的特征。1）重资产”特征：“收入/固定资产净值”在行业最低端波动；2）技术进步特征：核心在工艺开发和设备，科研重要性上升，一线生产员工重要性降低，产品技术进步特征可以拉动毛利率成长；3）原料占比在60%以上，降低成本是行业发展趋势；4）设备通用性强，共用性强，产能综合拉动效应明显。
过去4 年公司成长归因。1）需求：过去几年需求周期向上，这是公司成长大前提；
2）融资投资：长电作为重资产公司，一切都需投资支撑，融资（银行贷款和资本市场融资）周期和投资周期和向上的需求经济周期吻合；3）投资向中高端顺利转型，投资有成效，产品技术进步明显，使产品均价相对稳定，毛利率逐年上升，导致成长；4）公司民营体制和灵活用人是必要条件；5）FBP 等新品不是成长主力，最近的CMMB 和U 盘等整机品的利润拉动作用还有待观察。
成长模式：具有依赖投资的重资产特征，而技术进步是外在现象，成长内生性弱，长期成长性有待考验。
盈利预测与投资建议。基于行业下行、公司技术进步作用弱化、所得税降低的假设，预期长电科技2008~2010 的对应EPS 分别为0.12 元、0.10 元和0.11 元，给予“中性”的投资评级。
主要不确定因素。行业下降低点和回暖时间点，新品对利润的拉动效果，直接面对国际企业的竞争",邱春城
